RTENAME,StateNm,RouteID,U_S_R_I,id,ppt00_mean,ppt01_mean,ppt15_mean,ppt16_mean,tmean00_me,tmean01_me,tmean15_me,tmean16_me
SENECA,34,069,34_069,1165,996.701999999999000,886.963999999999000,1114.853999999990000,1104.893999999990000,10.908000000000000,9.606000000000000,10.064000000000000,9.230000000000000
SHERBURNVILL,34,017,34_017,1166,881.810000000000000,939.764000000000000,1139.514000000000000,1036.004000000000000,11.006000000000000,9.805999999999990,10.733999999999900,10.173999999999900
SHERBURNVILL,34,017,34_017,1167,879.438333333333000,922.490000000000000,1134.075000000000000,1093.878333333330000,11.018333333333300,9.816666666666660,10.596666666666600,9.983333333333330
SHERBURNVILL,34,017,34_017,1168,883.425714285714000,903.008571428571000,1131.597142857140000,1118.951428571420000,11.077142857142800,9.872857142857140,10.554285714285700,9.908571428571420
SHERBURNVILL,34,017,34_017,1169,897.984285714285000,878.489999999999000,1155.014285714280000,1142.097142857140000,11.155714285714200,9.945714285714280,10.561428571428500,9.881428571428570
SHERBURNVILL,34,017,34_017,1170,911.055714285714000,850.927142857142000,1169.678571428570000,1164.268571428570000,11.225714285714200,10.014285714285700,10.618571428571400,9.922857142857140
STREATOR,34,013,34_013,1171,932.885714285714000,999.391428571428000,1139.665714285710000,1107.552857142850000,12.161428571428500,11.011428571428500,10.837142857142800,10.175714285714200
STREATOR,34,013,34_013,1172,909.545000000000000,988.928749999999000,1134.708750000000000,1109.525000000000000,12.041250000000000,10.897500000000000,10.858749999999900,10.190000000000000
STREATOR,34,013,34_013,1173,876.321250000000000,973.836249999999000,1135.485000000000000,1105.362499999990000,11.863750000000000,10.712499999999900,10.896250000000000,10.231249999999900
STREATOR,34,013,34_013,1174,864.440000000000000,968.899999999999000,1126.418750000000000,1120.408750000000000,11.653750000000000,10.491250000000000,10.843750000000000,10.157500000000000
STREATOR,34,013,34_013,1175,877.626250000000000,979.009999999999000,1123.461250000000000,1128.246250000000000,11.341249999999900,10.187500000000000,10.734999999999900,10.027499999999900
SHERRARD,34,067,34_067,1176,922.820000000000000,1001.044000000000000,1142.672000000000000,944.771999999999000,11.454000000000000,10.302000000000000,10.556000000000000,10.093999999999900
SHERRARD,34,067,34_067,1177,896.835000000000000,997.183333333333000,1046.413333333330000,897.936666666666000,11.515000000000000,10.371666666666600,10.611666666666600,10.163333333333300
SHERRARD,34,067,34_067,1178,885.908749999999000,991.428750000000000,1031.948750000000000,891.220000000000000,11.453749999999900,10.305000000000000,10.577499999999900,10.131250000000000
SHERRARD,34,067,34_067,1179,878.592857142857000,984.914285714285000,1039.299999999990000,943.942857142857000,11.412857142857100,10.248571428571400,10.602857142857100,10.135714285714200
SHERRARD,34,067,34_067,1180,878.053333333333000,986.911666666666000,1038.645000000000000,992.268333333333000,11.436666666666600,10.263333333333300,10.670000000000000,10.185000000000000
ESSEX,34,015,34_015,1181,871.138571428571000,971.714285714285000,1151.068571428570000,1182.428571428570000,11.397142857142800,10.247142857142800,10.762857142857100,10.052857142857100
ESSEX,34,015,34_015,1182,874.006250000000000,964.296249999999000,1170.301249999990000,1185.847499999990000,11.293750000000000,10.143750000000000,10.716249999999900,10.001249999999900
ESSEX,34,015,34_015,1183,873.378749999999000,954.346249999999000,1171.512500000000000,1185.031250000000000,11.277500000000000,10.115000000000000,10.687500000000000,9.969999999999990
ESSEX,34,015,34_015,1184,874.797777777777000,942.716666666666000,1206.426666666660000,1129.390000000000000,11.297777777777700,10.124444444444400,10.683333333333300,9.971111111111110
ESSEX,34,015,34_015,1185,878.404285714285000,927.525714285714000,1226.731428571420000,1094.987142857140000,11.321428571428500,10.129999999999900,10.678571428571400,9.972857142857140
BUDA,34,011,34_011,1186,812.613749999999000,981.533750000000000,1131.337499999990000,919.565000000000000,11.367500000000000,10.212500000000000,10.743749999999900,10.213749999999900
BUDA,34,011,34_011,1187,817.050000000000000,994.287142857142000,1094.607142857140000,899.755714285714000,11.199999999999900,10.020000000000000,10.605714285714200,10.038571428571400
