RTENAME,StateNm,RouteID,U_S_R_I,id,t00m_mean,t00j_mean,t01m_mean,t01j_mean,t15m_mean,t15j_mean,t16m_mean,t16j_mean
HAY LAKE,53,004,53_004,2487,10.170000000000000,12.895000000000000,11.514999999999900,13.779999999999900,8.542500000000000,16.469999999999900,9.167500000000000,14.969999999999900
HAY LAKE,53,004,53_004,2488,10.140000000000000,12.846666666666600,11.510000000000000,13.716666666666600,8.500000000000000,16.393333333333300,9.140000000000000,14.893333333333300
HAY LAKE,53,004,53_004,2489,10.500000000000000,13.155000000000000,11.824999999999900,13.995000000000000,8.824999999999990,16.605000000000000,9.445000000000000,15.150000000000000
HAY LAKE,53,004,53_004,2490,10.350000000000000,13.043333333333300,11.710000000000000,13.823333333333300,8.706666666666660,16.459999999999900,9.360000000000000,15.000000000000000
INSIDE ROAD,53,800,53_800,2491,8.539999999999990,11.885000000000000,9.740000000000000,11.817500000000000,9.730000000000000,16.412500000000000,9.730000000000000,14.154999999999900
INSIDE ROAD,53,800,53_800,2492,8.663333333333330,12.093333333333300,10.286666666666600,12.303333333333300,10.043333333333300,16.530000000000000,10.090000000000000,14.423333333333300
INSIDE ROAD,53,800,53_800,2493,7.923333333333330,11.409999999999900,10.010000000000000,12.089999999999900,9.713333333333330,16.216666666666600,9.863333333333330,14.066666666666600
INSIDE ROAD,53,800,53_800,2494,7.512500000000000,11.045000000000000,9.844999999999990,11.927500000000000,9.480000000000000,16.132500000000000,9.707500000000000,13.967499999999900
INSIDE ROAD,53,800,53_800,2495,7.210000000000000,10.592499999999900,8.702500000000000,10.807499999999900,8.605000000000000,15.587500000000000,8.880000000000000,13.192499999999900
REDSTONE,53,012,53_012,2496,12.670000000000000,14.463333333333300,12.843333333333300,16.183333333333300,10.209999999999900,17.763333333333300,12.709999999999900,17.416666666666600
REDSTONE,53,012,53_012,2497,12.772500000000000,14.490000000000000,13.004999999999900,16.290000000000000,10.407500000000000,18.002499999999900,12.935000000000000,17.484999999999900
REDSTONE,53,012,53_012,2498,12.440000000000000,14.413333333333300,12.560000000000000,16.096666666666600,9.976666666666660,17.606666666666600,12.556666666666600,17.373333333333300
REDSTONE,53,012,53_012,2499,12.472500000000000,14.484999999999900,12.565000000000000,16.115000000000000,9.937500000000000,17.557499999999900,12.537500000000000,17.379999999999900
REDSTONE,53,012,53_012,2500,12.483333333333300,14.446666666666600,12.670000000000000,16.173333333333300,10.010000000000000,17.673333333333300,12.626666666666600,17.410000000000000
HARLEM,53,008,53_008,2501,13.155000000000000,15.844999999999900,14.495000000000000,17.024999999999900,10.529999999999900,18.504999999999900,11.545000000000000,18.100000000000000
HARLEM,53,008,53_008,2502,13.472500000000000,16.332500000000000,14.585000000000000,17.067499999999900,10.570000000000000,18.497499999999900,11.432500000000000,18.274999999999900
HARLEM,53,008,53_008,2503,13.385000000000000,16.445000000000000,14.430000000000000,16.934999999999900,10.640000000000000,18.575000000000000,11.565000000000000,18.305000000000000
HARLEM,53,008,53_008,2504,12.772500000000000,15.699999999999900,13.727499999999900,16.405000000000000,10.460000000000000,18.317499999999900,11.480000000000000,17.770000000000000
HARLEM,53,008,53_008,2505,11.800000000000000,14.727500000000000,12.682499999999900,15.674999999999900,10.027500000000000,17.919999999999900,11.192499999999900,16.997500000000000
CLEVELAND,53,007,53_007,2506,9.007500000000000,11.837500000000000,10.154999999999900,12.695000000000000,7.847500000000000,15.592499999999900,8.727499999999990,13.815000000000000
CLEVELAND,53,007,53_007,2507,9.397500000000000,12.157499999999900,10.505000000000000,13.130000000000000,8.122500000000000,15.967499999999900,8.922499999999990,14.255000000000000
CLEVELAND,53,007,53_007,2508,10.396666666666600,13.289999999999900,11.583333333333300,14.313333333333300,8.826666666666660,16.963333333333300,9.693333333333330,15.356666666666600
CLEVELAND,53,007,53_007,2509,10.740000000000000,13.800000000000000,11.975000000000000,14.845000000000000,9.074999999999990,17.285000000000000,9.960000000000000,15.875000000000000
CLEVELAND,53,007,53_007,2510,10.876666666666600,13.973333333333300,12.170000000000000,14.990000000000000,9.136666666666660,17.243333333333300,10.070000000000000,16.050000000000000
GLASGOW,53,010,53_010,2511,13.740000000000000,16.225000000000000,14.164999999999900,17.219999999999900,11.520000000000000,19.390000000000000,13.350000000000000,18.865000000000000
GLASGOW,53,010,53_010,2512,14.130000000000000,16.582500000000000,14.382500000000000,17.515000000000000,11.699999999999900,19.712500000000000,13.764999999999900,19.337500000000000
GLASGOW,53,010,53_010,2513,14.447500000000000,16.802499999999900,14.522500000000000,17.739999999999900,11.877500000000000,19.925000000000000,14.082500000000000,19.699999999999900
GLASGOW,53,010,53_010,2514,14.070000000000000,16.430000000000000,14.245000000000000,17.390000000000000,11.580000000000000,19.590000000000000,13.655000000000000,19.215000000000000
GLASGOW,53,010,53_010,2515,13.815000000000000,16.204999999999900,14.055000000000000,17.174999999999900,11.369999999999900,19.320000000000000,13.399999999999900,18.905000000000000
KALISPELL,53,002,53_002,2516,10.563333333333300,13.810000000000000,11.853333333333300,13.076666666666600,11.956666666666600,18.203333333333300,11.210000000000000,14.890000000000000
KALISPELL,53,002,53_002,2517,10.795000000000000,14.100000000000000,12.042500000000000,13.444999999999900,11.782500000000000,18.287499999999900,11.262499999999900,15.045000000000000
KALISPELL,53,002,53_002,2518,9.840000000000000,13.315999999999900,11.116000000000000,12.754000000000000,10.956000000000000,17.743999999999900,10.751999999999900,14.598000000000000
KALISPELL,53,002,53_002,2519,10.094999999999900,13.579999999999900,11.292500000000000,13.092499999999900,11.135000000000000,17.715000000000000,10.922499999999900,14.879999999999900
KALISPELL,53,002,53_002,2520,9.715000000000000,13.355000000000000,10.975000000000000,12.890000000000000,10.774999999999900,17.545000000000000,10.715000000000000,14.715000000000000
VIRGELLE,53,006,53_006,2521,12.700000000000000,15.453333333333300,14.113333333333300,16.843333333333300,10.878333333333300,18.766666666666600,11.310000000000000,17.223333333333300
VIRGELLE,53,006,53_006,2522,12.539999999999900,15.215000000000000,13.817499999999900,16.547499999999900,10.597500000000000,18.477499999999900,11.140000000000000,17.000000000000000
VIRGELLE,53,006,53_006,2523,12.716666666666600,15.300000000000000,13.993333333333300,16.669999999999900,10.659999999999900,18.496666666666600,11.210000000000000,17.023333333333300
VIRGELLE,53,006,53_006,2524,12.736666666666600,15.316666666666600,13.993333333333300,16.676666666666600,10.663333333333300,18.466666666666600,11.190000000000000,17.036666666666600
VIRGELLE,53,006,53_006,2525,12.803333333333300,15.369999999999900,14.076666666666600,16.730000000000000,10.830000000000000,18.510000000000000,11.240000000000000,17.090000000000000
OSWEGO,53,011,53_011,2526,13.693999999999900,16.462000000000000,13.902000000000000,17.202000000000000,11.407999999999900,19.491999999999900,13.585999999999900,19.256000000000000
OSWEGO,53,011,53_011,2527,13.500000000000000,16.009999999999900,13.737500000000000,16.945000000000000,11.160000000000000,19.067499999999900,13.252500000000000,18.702500000000000
OSWEGO,53,011,53_011,2528,12.986666666666600,15.213333333333300,13.246666666666600,16.376666666666600,10.646666666666600,18.323333333333300,12.583333333333300,17.763333333333300
OSWEGO,53,011,53_011,2529,12.795000000000000,15.045000000000000,13.065000000000000,16.257500000000000,10.502500000000000,18.100000000000000,12.465000000000000,17.605000000000000
OSWEGO,53,011,53_011,2530,12.707500000000000,14.982500000000000,12.965000000000000,16.195000000000000,10.425000000000000,17.990000000000000,12.402500000000000,17.532499999999900
LEROY,53,019,53_019,2531,12.524999999999900,15.409999999999900,13.832500000000000,16.245000000000000,10.637499999999900,19.012500000000000,11.609999999999900,17.875000000000000
LEROY,53,019,53_019,2532,11.869999999999900,14.813333333333300,13.180000000000000,15.659999999999900,10.116666666666600,18.393333333333300,11.093333333333300,17.039999999999900
LEROY,53,019,53_019,2533,11.447500000000000,14.472500000000000,12.859999999999900,15.387499999999900,9.797499999999990,18.027500000000000,10.715000000000000,16.397500000000000
LEROY,53,019,53_019,2534,11.295000000000000,14.262500000000000,12.702500000000000,15.160000000000000,9.712499999999990,17.859999999999900,10.630000000000000,16.152500000000000
LEROY,53,019,53_019,2535,11.310000000000000,14.282500000000000,12.777500000000000,15.250000000000000,9.770000000000000,17.840000000000000,10.545000000000000,16.000000000000000
